"defense","rushing_yds","year"
"544","TB",3,"2015"
"545","TB",4,"2015"
"546","TB",5,"2015"
"547","TB",4,"2015"
"548","TB",4,"2015"
"549","TB",16,"2015"
"550","TB",5,"2015"
"551","TB",4,"2015"
"552","TB",4,"2015"
"553","TB",5,"2015"
"554","TB",0,"2015"
"555","DET",3,"2015"
"556","DET",4,"2015"
"557","DET",6,"2015"
"558","DET",3,"2015"
"559","DET",5,"2015"
"560","DET",7,"2015"
"561","DET",5,"2015"
"562","DET",3,"2015"
"563","DET",-1,"2015"
"564","DET",7,"2015"
"565","DET",2,"2015"
"566","DET",5,"2015"
"567","DET",5,"2015"
"568","DET",4,"2015"
"569","DET",3,"2015"
"570","DET",2,"2015"
"571","DET",13,"2015"
"572","GB",4,"2015"
"573","GB",5,"2015"
"574","GB",2,"2015"
"575","GB",5,"2015"
"576","ARI",5,"2015"
"577","ARI",3,"2015"
"578","SEA",3,"2015"
"579","SEA",2,"2015"
"580","SEA",1,"2015"
"581","SEA",5,"2015"
"582","OAK",0,"2015"
"583","OAK",3,"2015"
"584","KC",1,"2015"
"585","KC",2,"2015"
"682","CHI",5,"2015"
"683","CHI",1,"2015"
"684","CHI",16,"2015"
"685","CHI",4,"2015"
"686","CHI",7,"2015"
"687","CHI",3,"2015"
"688","CHI",-1,"2015"
"689","CHI",15,"2015"
"690","CHI",8,"2015"
"691","CHI",4,"2015"
"692","CHI",2,"2015"
"693","CHI",1,"2015"
"694","CHI",5,"2015"
"695","CHI",5,"2015"
"696","CHI",1,"2015"
"697","CHI",1,"2015"
"698","CHI",5,"2015"
"699","CHI",1,"2015"
"700","CHI",2,"2015"
"701","SEA",0,"2015"
"702","SEA",8,"2015"
"703","SEA",1,"2015"
"704","KC",5,"2015"
"705","KC",4,"2015"
"706","KC",9,"2015"
"707","KC",2,"2015"
"708","KC",13,"2015"
"709","KC",1,"2015"
"710","KC",0,"2015"
"711","KC",9,"2015"
"712","KC",-1,"2015"
"713","KC",4,"2015"
"714","SF",-1,"2015"
"715","SF",5,"2015"
"716","SF",2,"2015"
"717","SF",5,"2015"
"718","SF",3,"2015"
"719","SF",5,"2015"
"720","SF",0,"2015"
"721","SF",10,"2015"
"722","SF",6,"2015"
"723","SF",12,"2015"
"724","SF",2,"2015"
"725","SF",15,"2015"
"726","SF",7,"2015"
"727","SF",0,"2015"
"728","SF",-1,"2015"
"729","SF",10,"2015"
"730","SF",3,"2015"
"731","SF",7,"2015"
"732","STL",3,"2015"
"733","STL",-1,"2015"
"734","STL",2,"2015"
"735","STL",3,"2015"
"736","STL",0,"2015"
"737","STL",2,"2015"
"738","STL",0,"2015"
"739","STL",3,"2015"
"740","STL",8,"2015"
"741","STL",4,"2015"
"742","STL",3,"2015"
"743","STL",0,"2015"
"744","STL",0,"2015"
"745","SD",3,"2015"
"746","SD",0,"2015"
"747","SD",3,"2015"
"748","SD",-3,"2015"
"749","DEN",4,"2015"
"750","DEN",11,"2015"
"751","DEN",0,"2015"
"752","DEN",1,"2015"
"753","DEN",1,"2015"
"754","DEN",15,"2015"
"755","DEN",1,"2015"
"756","DEN",2,"2015"
"757","DEN",-1,"2015"
"758","DEN",3,"2015"
"759","DEN",1,"2015"
"760","CAR",-1,"2015"
"761","CAR",3,"2015"
"762","CAR",1,"2015"
"763","CAR",0,"2015"
"764","CAR",7,"2015"
"765","MIN",0,"2015"
"766","MIN",9,"2015"
"767","MIN",-4,"2015"
"768","MIN",27,"2015"
"769","MIN",1,"2015"
"770","MIN",2,"2015"
"771","MIN",8,"2015"
"772","MIN",7,"2015"
"773","MIN",8,"2015"
"774","MIN",2,"2015"
"775","MIN",5,"2015"
"776","MIN",3,"2015"
"777","MIN",-2,"2015"
"778","MIN",7,"2015"
"779","MIN",5,"2015"
"780","MIN",9,"2015"
"781","MIN",-1,"2015"
"782","MIN",5,"2015"
"783","MIN",1,"2015"
"784","MIN",1,"2015"
"785","MIN",-2,"2015"
"786","MIN",9,"2015"
"787","CHI",29,"2015"
"788","CHI",5,"2015"
"789","CHI",3,"2015"
"790","CHI",0,"2015"
"791","CHI",8,"2015"
"792","CHI",3,"2015"
"793","CHI",2,"2015"
"794","CHI",7,"2015"
"795","CHI",0,"2015"
"796","CHI",15,"2015"
"797","CHI",6,"2015"
"798","CHI",8,"2015"
"799","CHI",4,"2015"
"800","CHI",3,"2015"
"801","CHI",6,"2015"
"802","CHI",2,"2015"
"803","CHI",4,"2015"
"804","DET",2,"2015"
"805","DET",-1,"2015"
"806","DET",2,"2015"
"807","DET",0,"2015"
"808","DET",1,"2015"
"809","DAL",5,"2015"
"810","DAL",6,"2015"
"811","DAL",3,"2015"
"812","DAL",4,"2015"
"813","DAL",18,"2015"
"814","DAL",2,"2015"
"815","DAL",3,"2015"
"816","DAL",0,"2015"
"817","DAL",-1,"2015"
"818","DAL",5,"2015"
"819","DAL",5,"2015"
"820","DAL",6,"2015"
"821","DAL",6,"2015"
"822","DAL",11,"2015"
"823","DAL",0,"2015"
"824","DAL",-2,"2015"
"825","DAL",8,"2015"
"826","DAL",1,"2015"
"827","DAL",11,"2015"
"828","DAL",-5,"2015"
"829","DAL",15,"2015"
"830","DAL",-2,"2015"
"831","DAL",24,"2015"
"832","DAL",1,"2015"
"833","OAK",3,"2015"
"834","OAK",2,"2015"
"835","OAK",-1,"2015"
"836","OAK",4,"2015"
"837","OAK",0,"2015"
"838","OAK",1,"2015"
"839","OAK",7,"2015"
"840","OAK",0,"2015"
"841","OAK",8,"2015"
"842","OAK",-2,"2015"
"843","OAK",1,"2015"
"844","ARI",3,"2015"
"845","ARI",0,"2015"
"846","ARI",3,"2015"
"847","ARI",6,"2015"
"848","ARI",2,"2015"
"849","ARI",3,"2015"
"850","ARI",3,"2015"
"851","ARI",3,"2015"
"852","ARI",9,"2015"
"853","ARI",25,"2015"
"854","ARI",-1,"2015"
"855","ARI",4,"2015"
"856","MIN",1,"2015"
"857","MIN",11,"2015"
"858","MIN",-1,"2015"
"859","MIN",2,"2015"
"860","MIN",6,"2015"
