"full_name","year","rushing_yds"
"55640","Adrian Peterson",2012,-1
"55641","Adrian Peterson",2012,2
"55642","Adrian Peterson",2012,8
"55643","Adrian Peterson",2012,3
"55644","Adrian Peterson",2012,20
"55645","Adrian Peterson",2012,2
"55646","Adrian Peterson",2012,7
"55647","Adrian Peterson",2012,12
"55648","Adrian Peterson",2012,3
"55649","Adrian Peterson",2012,4
"55650","Adrian Peterson",2012,7
"55651","Adrian Peterson",2012,4
"55652","Adrian Peterson",2012,18
"55653","Adrian Peterson",2012,4
"55654","Adrian Peterson",2012,7
"55655","Adrian Peterson",2012,3
"55656","Adrian Peterson",2012,2
"55657","Adrian Peterson",2012,1
"55658","Adrian Peterson",2012,10
"55659","Adrian Peterson",2012,-1
"55660","Adrian Peterson",2012,15
"55661","Adrian Peterson",2012,3
"55662","Adrian Peterson",2012,5
"55663","Adrian Peterson",2012,8
"55664","Adrian Peterson",2012,-1
"55665","Adrian Peterson",2012,-1
"55666","Adrian Peterson",2012,-1
"55667","Adrian Peterson",2012,0
"55668","Adrian Peterson",2012,3
"55669","Adrian Peterson",2012,-2
"55670","Adrian Peterson",2012,1
"55671","Adrian Peterson",2012,-1
"55672","Adrian Peterson",2012,2
"55673","Adrian Peterson",2012,4
"55674","Adrian Peterson",2012,1
"55675","Adrian Peterson",2012,22
"55676","Adrian Peterson",2012,-1
"55677","Adrian Peterson",2012,6
"55678","Adrian Peterson",2012,34
"55679","Adrian Peterson",2012,1
"55680","Adrian Peterson",2012,-3
"55681","Adrian Peterson",2012,5
"55682","Adrian Peterson",2012,17
"55683","Adrian Peterson",2012,0
"55684","Adrian Peterson",2012,-1
"55685","Adrian Peterson",2012,3
"55686","Adrian Peterson",2012,32
"55687","Adrian Peterson",2012,5
"55688","Adrian Peterson",2012,9
"55689","Adrian Peterson",2012,-2
"55690","Adrian Peterson",2012,1
"55691","Adrian Peterson",2012,-1
"55692","Adrian Peterson",2012,1
"55693","Adrian Peterson",2012,3
"55694","Adrian Peterson",2012,2
"55695","Adrian Peterson",2012,6
"55696","Adrian Peterson",2012,5
"55697","Adrian Peterson",2012,2
"55698","Adrian Peterson",2012,2
"55699","Adrian Peterson",2012,3
"55700","Adrian Peterson",2012,8
"55701","Adrian Peterson",2012,0
"55702","Adrian Peterson",2012,2
"55703","Adrian Peterson",2012,27
"55704","Adrian Peterson",2012,6
"55705","Adrian Peterson",2012,13
"55706","Adrian Peterson",2012,-3
"55707","Adrian Peterson",2012,8
"55708","Adrian Peterson",2012,17
"55709","Adrian Peterson",2012,12
"55710","Adrian Peterson",2012,3
"55711","Adrian Peterson",2012,1
"55712","Adrian Peterson",2012,6
"55713","Adrian Peterson",2012,4
"55714","Adrian Peterson",2012,22
"55715","Adrian Peterson",2012,4
